Gen	Ram	Cpu	Peso	Robustez	Tiempo	
0	-1.0	1.0	18840.0	1.0	0.852	
1	-1.0	1.0	17256.0	1.0	1.12	
2	-1.0	1.0	17256.0	1.0	1.034	
3	-1.0	1.0	17256.0	1.0	0.787	
4	-1.0	1.0	17256.0	1.0	0.77	
5	-1.0	1.0	17256.0	1.0	0.86	
6	-1.0	1.0	17256.0	1.0	1.158	
7	-1.0	1.0	17256.0	1.0	0.811	
8	-1.0	1.0	17256.0	1.0	0.839	
9	-1.0	1.0	17256.0	1.0	0.811	
10	-1.0	1.0	17256.0	1.0	0.851	
11	-1.0	1.0	17256.0	1.0	0.794	
12	-1.0	1.0	17256.0	1.0	0.791	
13	-1.0	1.0	17256.0	1.0	0.858	
14	-1.0	1.0	17256.0	1.0	1.106	
15	-1.0	1.0	17256.0	1.0	1.021	
16	-1.0	1.0	17256.0	1.0	0.853	
17	-1.0	1.0	17256.0	1.0	0.809	
18	-1.0	1.0	17256.0	1.0	0.776	
19	-1.0	1.0	17256.0	1.0	0.79	
20	-1.0	1.0	17256.0	1.0	0.953	
21	-1.0	1.0	17256.0	1.0	0.975	
22	-1.0	1.0	17256.0	1.0	0.896	
23	-1.0	1.0	17256.0	1.0	0.89	
24	-1.0	1.0	17256.0	1.0	0.856	
25	-1.0	1.0	17256.0	1.0	0.952	
26	-1.0	1.0	17256.0	1.0	0.934	
27	-1.0	1.0	17256.0	1.0	0.88	
28	-1.0	1.0	17256.0	1.0	1.01	
29	-1.0	1.0	17256.0	1.0	0.765	
30	-1.0	1.0	17256.0	1.0	0.764	
31	-1.0	1.0	17256.0	1.0	1.234	
32	-1.0	1.0	17256.0	1.0	1.202	
33	-1.0	1.0	17256.0	1.0	0.795	
34	-1.0	1.0	17256.0	1.0	0.763	
35	-1.0	1.0	17256.0	1.0	0.822	
36	-1.0	1.0	17256.0	1.0	0.774	
37	-1.0	1.0	17256.0	1.0	0.878	
38	-1.0	1.0	17256.0	1.0	0.838	
39	-1.0	1.0	17256.0	1.0	1.195	
40	-1.0	1.0	17256.0	1.0	0.942	
41	-1.0	1.0	17256.0	1.0	0.939	
42	-1.0	1.0	17256.0	1.0	0.796	
43	-1.0	1.0	17256.0	1.0	0.787	
44	-1.0	1.0	17256.0	1.0	0.76	
45	-1.0	1.0	17256.0	1.0	1.055	
46	-1.0	1.0	17256.0	1.0	1.003	
47	-1.0	1.0	17256.0	1.0	0.823	
48	-1.0	1.0	17256.0	1.0	1.247	
49	-1.0	1.0	17256.0	1.0	1.075	
50	-1.0	1.0	17256.0	1.0	0.798	
51	-1.0	1.0	17256.0	1.0	0.847	
52	-1.0	1.0	17256.0	1.0	0.782	
53	-1.0	1.0	17256.0	1.0	0.87	
54	-1.0	1.0	17256.0	1.0	0.933	
55	-1.0	1.0	17256.0	1.0	0.856	
56	-1.0	1.0	17256.0	1.0	0.995	
57	-1.0	1.0	17256.0	1.0	1.013	
58	-1.0	1.0	17256.0	1.0	0.957	
59	-1.0	1.0	17256.0	1.0	0.796	
60	-1.0	1.0	17256.0	1.0	0.968	
61	-1.0	1.0	17256.0	1.0	1.087	
62	-1.0	1.0	17256.0	1.0	0.828	
63	-1.0	1.0	17256.0	1.0	0.797	
64	-1.0	1.0	17256.0	1.0	1.085	
65	-1.0	1.0	17256.0	1.0	1.193	
66	-1.0	1.0	17256.0	1.0	0.798	
67	-1.0	1.0	17256.0	1.0	0.849	
68	-1.0	1.0	17256.0	1.0	0.843	
69	-1.0	1.0	17256.0	1.0	0.761	
70	-1.0	1.0	17256.0	1.0	0.803	
71	-1.0	1.0	17256.0	1.0	0.775	
72	-1.0	1.0	17256.0	1.0	0.998	
73	-1.0	1.0	17256.0	1.0	0.943	
74	-1.0	1.0	17256.0	1.0	0.812	
75	-1.0	1.0	17256.0	1.0	0.826	
76	-1.0	1.0	17256.0	1.0	0.831	
77	-1.0	1.0	17256.0	1.0	0.868	
78	-1.0	1.0	17256.0	1.0	0.799	
79	-1.0	1.0	17256.0	1.0	0.917	
80	-1.0	1.0	17256.0	1.0	0.785	
81	-1.0	1.0	17256.0	1.0	1.244	
82	-1.0	1.0	17256.0	1.0	1.386	
83	-1.0	1.0	17256.0	1.0	0.955	
84	-1.0	1.0	17256.0	1.0	0.892	
85	-1.0	1.0	17256.0	1.0	0.801	
86	-1.0	1.0	17256.0	1.0	0.805	
87	-1.0	1.0	17256.0	1.0	0.767	
88	-1.0	1.0	17256.0	1.0	0.839	
89	-1.0	1.0	17256.0	1.0	0.955	
90	-1.0	1.0	17256.0	1.0	1.134	
91	-1.0	1.0	17256.0	1.0	0.763	
92	-1.0	1.0	17256.0	1.0	0.828	
93	-1.0	1.0	17256.0	1.0	0.797	
94	-1.0	1.0	17256.0	1.0	0.831	
95	-1.0	1.0	17256.0	1.0	0.747	
96	-1.0	1.0	17256.0	1.0	0.933	
97	-1.0	1.0	17256.0	1.0	1.036	
98	-1.0	1.0	17256.0	1.0	1.161	
99	-1.0	1.0	17256.0	1.0	0.89	
