Flag;Cantidad
-fassociative-math;3
-fbranch-probabilities;3
-fbtr-bb-exclusive;3
-fcaller-saves;1
-fcode-hoisting;3
-fcompare-elim;1
-fconserve-stack;3
-fcrossjumping;3
-fcse-follow-jumps;3
-fcse-skip-blocks;3
-fcx-fortran-rules;3
-fcx-limited-range;1
-fdata-sections;3
-fdce;1
-fdelayed-branch;3
-fdse;1
-fexpensive-optimizations;1
-ffat-lto-objects;3
-ffinite-math-only;1
-fforward-propagate;1
-fgcse-las;3
-fgcse-sm;3
-fgraphite-identity;1
-finline-functions;1
-finline-functions-called-once;1
-finline-small-functions;3
-fipa-cp-clone;1
-fipa-icf;1
-fipa-pta;3
-fipa-pure-const;3
-fipa-ra;1
-fipa-reference;3
-fipa-reference-addressable;3
-fira-hoist-pressure;3
-fisolate-erroneous-paths-dereference;3
-fivopts;1
-fkeep-inline-functions;1
-fkeep-static-consts;1
-fkeep-static-functions;1
-flimit-function-alignment;1
-flive-range-shrinkage;1
-floop-block;1
-floop-parallelize-all;1
-floop-strip-mine;3
-fmerge-all-constants;1
-fno-branch-count-reg;3
-fno-defer-pop;1
-fno-guess-branch-probability;1
-fno-peephole;1
-fno-printf-return-value;1
-fno-sched-interblock;1
-fno-sched-spec;1
-fno-signed-zeros;1
-fomit-frame-pointer;1
-foptimize-sibling-calls;3
-fpartial-inlining;1
-fpeel-loops;1
-fpredictive-commoning;1
-fprefetch-loop-arrays;1
-fprofile-correction;1
-fprofile-values;3
-freciprocal-math;1
-free;1
-frounding-math;3
-fsched-pressure;3
-fsched-rank-heuristic;3
-fsched-spec-load;3
-fsched-spec-load-dangerous;1
-fsched2-use-superblocks;1
-fsel-sched-pipelining;3
-fsel-sched-pipelining-outer-loops;3
-fselective-scheduling2;1
-fshrink-wrap;3
-fshrink-wrap-separate;3
-fsingle-precision-constant;1
-fsplit-ivs-in-unroller;3
-fsplit-loops;1
-fsplit-wide-types;3
-fssa-phiopt;3
-fstdarg-opt;1
-fstore-merging;3
-fstrict-aliasing;3
-ftree-ccp;3
-ftree-copy-prop;1
-ftree-loop-distribution;1
-ftree-loop-if-convert;1
-ftree-loop-linear;1
-ftree-loop-optimize;1
-ftree-loop-vectorize;3
-ftree-reassoc;1
-ftree-scev-cprop;3
-ftree-sink;3
-ftree-slsr;3
-ftree-sra;3
-ftree-switch-conversion;1
-funconstrained-commons;3
-funroll-loops;3
-funswitch-loops;3
-fvariable-expansion-in-unroller;3
-fvpt;3
-falign-loops=10422;1
-finline-limit=47742;3
-fsched-stalled-insns=56691;3
-ftree-parallelize-loops=2;3
-fexcess-precision=fast;3
-fira-algorithm=CB;3
-freorder-blocks-algorithm=stc;3
-fcprop-registers;2
-fdevirtualize;2
-fdevirtualize-speculatively;2
-fearly-inlining;2
-ffloat-store;2
-ffunction-sections;2
-fgcse;2
-fgcse-lm;2
-fif-conversion;2
-fif-conversion2;2
-fipa-sra;2
-floop-unroll-and-jam;2
-flra-remat;2
-flto;2
-fmodulo-sched;2
-fmove-loop-invariants;2
-fno-fp-int-builtin-inexact;2
-fno-inline;2
-fno-ira-share-spill-slots;2
-fno-math-errno;2
-fno-peephole2;2
-fno-zero-initialized-in-bss;2
-fprofile-reorder-functions;2
-frename-registers;2
-freorder-functions;2
-frerun-cse-after-loop;2
-fsched-group-heuristic;2
-fsched-spec-insn-heuristic;2
-fsplit-paths;2
-fssa-backprop;2
-fthread-jumps;2
-ftree-bit-ccp;2
-ftree-ch;2
-ftree-coalesce-vars;2
-ftree-dce;2
-ftree-fre;2
-ftree-loop-ivcanon;2
-ftree-partial-pre;2
-ftree-pta;2
-ftree-vectorize;2
-ftree-vrp;2
-funit-at-a-time;2
-fvect-cost-model;2
-fwhole-program;2
-falign-jumps=13274;2
-fsched-stalled-insns-dep=13237;2
-ffp-contract=fast;2
