Flag;Cantidad
-fbranch-probabilities;74
-fbranch-target-load-optimize2;46
-fcode-hoisting;68
-fcompare-elim;63
-fconserve-stack;56
-fcse-follow-jumps;57
-fcse-skip-blocks;50
-fcx-fortran-rules;62
-fcx-limited-range;66
-fdata-sections;61
-fdelayed-branch;76
-fdelete-null-pointer-checks;47
-fdevirtualize;68
-fdevirtualize-at-ltrans;45
-fexpensive-optimizations;48
-ffinite-math-only;64
-ffloat-store;63
-fgcse-sm;64
-finline-functions-called-once;71
-fipa-bit-cp;50
-fipa-pta;54
-fipa-ra;63
-fipa-reference;71
-fipa-reference-addressable;70
-fira-hoist-pressure;73
-fkeep-static-consts;50
-flive-range-shrinkage;63
-floop-interchange;56
-floop-nest-optimize;52
-floop-parallelize-all;53
-flra-remat;66
-flto;74
-fmerge-constants;52
-fmodulo-sched;50
-fno-branch-count-reg;69
-fno-fp-int-builtin-inexact;54
-fno-function-cse;55
-fno-guess-branch-probability;62
-fno-peephole;51
-fno-peephole2;68
-fno-printf-return-value;66
-fno-toplevel-reorder;64
-fno-trapping-math;62
-fno-zero-initialized-in-bss;58
-fomit-frame-pointer;66
-fpeel-loops;51
-fpredictive-commoning;60
-fprefetch-loop-arrays;49
-fprofile-reorder-functions;65
-freorder-blocks;59
-freorder-blocks-and-partition;54
-frerun-cse-after-loop;44
-frounding-math;58
-fsave-optimization-record;46
-fsched-dep-count-heuristic;52
-fsched-last-insn-heuristic;58
-fsched-pressure;74
-fsched-spec-insn-heuristic;58
-fsched-spec-load;83
-fschedule-insns;63
-fsel-sched-pipelining;78
-fsel-sched-pipelining-outer-loops;72
-fselective-scheduling2;60
-fsemantic-interposition;57
-fshrink-wrap-separate;69
-fsingle-precision-constant;38
-fsplit-loops;70
-fssa-phiopt;61
-fstore-merging;63
-fstrict-aliasing;66
-ftracer;55
-ftree-builtin-call-dce;56
-ftree-ch;72
-ftree-copy-prop;64
-ftree-dce;62
-ftree-loop-distribution;64
-ftree-loop-if-convert;54
-ftree-loop-ivcanon;60
-ftree-loop-linear;69
-ftree-loop-optimize;73
-ftree-loop-vectorize;60
-ftree-partial-pre;71
-ftree-phiprop;48
-ftree-pta;70
-ftree-scev-cprop;62
-ftree-sink;68
-ftree-sra;67
-ftree-tail-merge;51
-ftree-vectorize;60
-ftree-vrp;70
-funconstrained-commons;61
-funroll-loops;66
-funswitch-loops;57
-fuse-linker-plugin;67
-fvpt;69
-fwhole-program;46
-falign-functions=28500;1
-falign-loops=18751;1
-finline-limit=13548;1
-fira-region=one;14
-flto-partition=1to1;8
-fauto-inc-dec;54
-fcprop-registers;67
-fdce;55
-fforward-propagate;57
-ffunction-sections;57
-fgcse;70
-fgcse-lm;67
-fgraphite-identity;75
-finline-functions;45
-fipa-profile;52
-fipa-pure-const;51
-fipa-stack-alignment;41
-fisolate-erroneous-paths-attribute;53
-fkeep-static-functions;61
-fmerge-all-constants;61
-fmove-loop-invariants;66
-fno-defer-pop;55
-fno-inline;67
-fno-ira-share-spill-slots;70
-fno-sched-spec;53
-fno-signed-zeros;55
-foptimize-sibling-calls;67
-fpartial-inlining;53
-fprofile-correction;49
-fprofile-values;74
-freciprocal-math;47
-freorder-functions;60
-fsched-rank-heuristic;72
